Datum;Eroeffnung;Hoch;Tief;Schluss;Performance;Volumen;Abstand Hoch/Tief
07.12.70;447.83;447.83;447.83;447.83;-1.64 %;0;0.00
09.12.70;451.59;451.59;451.59;451.59;+0.84 %;0;0.00
10.12.70;454.45;454.45;454.45;454.45;+0.63 %;0;0.00
11.12.70;459.25;459.25;459.25;459.25;+1.06 %;0;0.00
14.12.70;453.93;453.93;453.93;453.93;-1.16 %;0;0.00
15.12.70;453.82;453.82;453.82;453.82;-0.02 %;0;0.00
16.12.70;452.41;452.41;452.41;452.41;-0.31 %;0;0.00
17.12.70;451.81;451.81;451.81;451.81;-0.13 %;0;0.00
18.12.70;451.03;451.03;451.03;451.03;-0.17 %;0;0.00
21.12.70;444.56;444.56;444.56;444.56;-1.43 %;0;0.00
22.12.70;444.41;444.41;444.41;444.41;-0.03 %;0;0.00
23.12.70;448.47;448.47;448.47;448.47;+0.91 %;0;0.00
28.12.70;447.39;447.39;447.39;447.39;-0.24 %;0;0.00
29.12.70;444.93;444.93;444.93;444.93;-0.55 %;0;0.00
30.12.70;446.23;446.23;446.23;446.23;+0.29 %;0;0.00
31.12.70;443.85;443.85;443.85;443.85;-0.53 %;0;0.00
04.01.71;444.19;444.19;444.19;444.19;+0.08 %;0;0.00
05.01.71;451.22;451.22;451.22;451.22;+1.58 %;0;0.00
06.01.71;458.02;458.02;458.02;458.02;+1.51 %;0;0.00
07.01.71;464.05;464.05;464.05;464.05;+1.32 %;0;0.00
08.01.71;471.38;471.38;471.38;471.38;+1.58 %;0;0.00
11.01.71;475.43;475.43;475.43;475.43;+0.86 %;0;0.00
12.01.71;477.62;477.62;477.62;477.62;+0.46 %;0;0.00
13.01.71;487.33;487.33;487.33;487.33;+2.03 %;0;0.00
14.01.71;481.60;481.60;481.60;481.60;-1.18 %;0;0.00
15.01.71;486.33;486.33;486.33;486.33;+0.98 %;0;0.00
18.01.71;483.43;483.43;483.43;483.43;-0.60 %;0;0.00
19.01.71;490.12;490.12;490.12;490.12;+1.38 %;0;0.00
20.01.71;489.86;489.86;489.86;489.86;-0.05 %;0;0.00
21.01.71;484.88;484.88;484.88;484.88;-1.02 %;0;0.00
22.01.71;489.45;489.45;489.45;489.45;+0.94 %;0;0.00
25.01.71;498.45;498.45;498.45;498.45;+1.84 %;0;0.00
26.01.71;499.57;499.57;499.57;499.57;+0.22 %;0;0.00
27.01.71;502.47;502.47;502.47;502.47;+0.58 %;0;0.00
28.01.71;509.61;509.61;509.61;509.61;+1.42 %;0;0.00
29.01.71;511.92;511.92;511.92;511.92;+0.45 %;0;0.00
01.02.71;506.93;506.93;506.93;506.93;-0.97 %;0;0.00
02.02.71;506.89;506.89;506.89;506.89;-0.01 %;0;0.00
03.02.71;501.17;501.17;501.17;501.17;-1.13 %;0;0.00
04.02.71;500.35;500.35;500.35;500.35;-0.16 %;0;0.00
05.02.71;508.42;508.42;508.42;508.42;+1.61 %;0;0.00
08.02.71;509.65;509.65;509.65;509.65;+0.24 %;0;0.00
09.02.71;506.30;506.30;506.30;506.30;-0.66 %;0;0.00
10.02.71;501.95;501.95;501.95;501.95;-0.86 %;0;0.00
11.02.71;503.88;503.88;503.88;503.88;+0.38 %;0;0.00
12.02.71;513.03;513.03;513.03;513.03;+1.82 %;0;0.00
15.02.71;530.62;530.62;530.62;530.62;+3.43 %;0;0.00
16.02.71;540.33;540.33;540.33;540.33;+1.83 %;0;0.00
17.02.71;535.87;535.87;535.87;535.87;-0.83 %;0;0.00
18.02.71;531.26;531.26;531.26;531.26;-0.86 %;0;0.00
19.02.71;533.75;533.75;533.75;533.75;+0.47 %;0;0.00
22.02.71;542.15;542.15;542.15;542.15;+1.57 %;0;0.00
23.02.71;537.02;537.02;537.02;537.02;-0.95 %;0;0.00
24.02.71;531.52;531.52;531.52;531.52;-1.02 %;0;0.00
25.02.71;527.31;527.31;527.31;527.31;-0.79 %;0;0.00
26.02.71;533.45;533.45;533.45;533.45;+1.16 %;0;0.00
01.03.71;531.81;531.81;531.81;531.81;-0.31 %;0;0.00
02.03.71;527.87;527.87;527.87;527.87;-0.74 %;0;0.00
03.03.71;528.65;528.65;528.65;528.65;+0.15 %;0;0.00
04.03.71;529.88;529.88;529.88;529.88;+0.23 %;0;0.00
05.03.71;536.69;536.69;536.69;536.69;+1.29 %;0;0.00
08.03.71;538.51;538.51;538.51;538.51;+0.34 %;0;0.00
09.03.71;539.55;539.55;539.55;539.55;+0.19 %;0;0.00
10.03.71;536.83;536.83;536.83;536.83;-0.50 %;0;0.00
11.03.71;534.23;534.23;534.23;534.23;-0.48 %;0;0.00
12.03.71;538.51;538.51;538.51;538.51;+0.80 %;0;0.00
15.03.71;533.04;533.04;533.04;533.04;-1.02 %;0;0.00
16.03.71;540.67;540.67;540.67;540.67;+1.43 %;0;0.00
17.03.71;538.36;538.36;538.36;538.36;-0.43 %;0;0.00
18.03.71;532.30;532.30;532.30;532.30;-1.13 %;0;0.00
19.03.71;525.94;525.94;525.94;525.94;-1.19 %;0;0.00
22.03.71;524.04;524.04;524.04;524.04;-0.36 %;0;0.00
23.03.71;523.78;523.78;523.78;523.78;-0.05 %;0;0.00
24.03.71;530.51;530.51;530.51;530.51;+1.28 %;0;0.00
25.03.71;537.88;537.88;537.88;537.88;+1.39 %;0;0.00
26.03.71;540.22;540.22;540.22;540.22;+0.44 %;0;0.00
29.03.71;538.40;538.40;538.40;538.40;-0.34 %;0;0.00
30.03.71;537.43;537.43;537.43;537.43;-0.18 %;0;0.00
31.03.71;538.51;538.51;538.51;538.51;+0.20 %;0;0.00
01.04.71;541.56;541.56;541.56;541.56;+0.57 %;0;0.00
02.04.71;543.53;543.53;543.53;543.53;+0.36 %;0;0.00
05.04.71;540.81;540.81;540.81;540.81;-0.50 %;0;0.00
06.04.71;535.79;535.79;535.79;535.79;-0.93 %;0;0.00
07.04.71;537.10;537.10;537.10;537.10;+0.24 %;0;0.00
08.04.71;539.59;539.59;539.59;539.59;+0.46 %;0;0.00
13.04.71;538.81;538.81;538.81;538.81;-0.14 %;0;0.00
14.04.71;532.78;532.78;532.78;532.78;-1.12 %;0;0.00
15.04.71;527.43;527.43;527.43;527.43;-1.00 %;0;0.00
16.04.71;527.05;527.05;527.05;527.05;-0.07 %;0;0.00
19.04.71;518.76;518.76;518.76;518.76;-1.57 %;0;0.00
20.04.71;516.45;516.45;516.45;516.45;-0.45 %;0;0.00
21.04.71;514.93;514.93;514.93;514.93;-0.29 %;0;0.00
22.04.71;507.23;507.23;507.23;507.23;-1.50 %;0;0.00
23.04.71;498.27;498.27;498.27;498.27;-1.77 %;0;0.00
26.04.71;497.78;497.78;497.78;497.78;-0.10 %;0;0.00
27.04.71;506.30;506.30;506.30;506.30;+1.71 %;0;0.00
28.04.71;516.90;516.90;516.90;516.90;+2.09 %;0;0.00
29.04.71;508.94;508.94;508.94;508.94;-1.54 %;0;0.00
30.04.71;503.92;503.92;503.92;503.92;-0.99 %;0;0.00
03.05.71;501.17;501.17;501.17;501.17;-0.55 %;0;0.00
04.05.71;500.24;500.24;500.24;500.24;-0.19 %;0;0.00
05.05.71;494.81;494.81;494.81;494.81;-1.09 %;0;0.00
06.05.71;497.82;497.82;497.82;497.82;+0.61 %;0;0.00
07.05.71;498.41;498.41;498.41;498.41;+0.12 %;0;0.00
10.05.71;491.27;491.27;491.27;491.27;-1.43 %;0;0.00
11.05.71;493.58;493.58;493.58;493.58;+0.47 %;0;0.00
12.05.71;500.24;500.24;500.24;500.24;+1.35 %;0;0.00
13.05.71;505.44;505.44;505.44;505.44;+1.04 %;0;0.00
14.05.71;504.22;504.22;504.22;504.22;-0.24 %;0;0.00
17.05.71;499.12;499.12;499.12;499.12;-1.01 %;0;0.00
18.05.71;498.64;498.64;498.64;498.64;-0.10 %;0;0.00
19.05.71;498.56;498.56;498.56;498.56;-0.02 %;0;0.00
21.05.71;496.82;496.82;496.82;496.82;-0.35 %;0;0.00
24.05.71;499.79;499.79;499.79;499.79;+0.60 %;0;0.00
25.05.71;501.13;501.13;501.13;501.13;+0.27 %;0;0.00
26.05.71;503.55;503.55;503.55;503.55;+0.48 %;0;0.00
27.05.71;511.32;511.32;511.32;511.32;+1.54 %;0;0.00
28.05.71;515.56;515.56;515.56;515.56;+0.83 %;0;0.00
01.06.71;518.16;518.16;518.16;518.16;+0.50 %;0;0.00
02.06.71;510.95;510.95;510.95;510.95;-1.39 %;0;0.00
03.06.71;503.32;503.32;503.32;503.32;-1.49 %;0;0.00
04.06.71;505.82;505.82;505.82;505.82;+0.50 %;0;0.00
07.06.71;502.32;502.32;502.32;502.32;-0.69 %;0;0.00
08.06.71;500.65;500.65;500.65;500.65;-0.33 %;0;0.00
09.06.71;499.27;499.27;499.27;499.27;-0.28 %;0;0.00
11.06.71;505.26;505.26;505.26;505.26;+1.20 %;0;0.00
14.06.71;514.48;514.48;514.48;514.48;+1.82 %;0;0.00
